"Year,Value"
"2021,48.36194487"
"2020,49.07178037"
"2019,49.39429641"
"2018,49.71681778"
"2017,50.03933382"
"2016,50.74345453"
"2015,50.61354905"
"2014,51.10689159"
"2013,51.60023414"
"2012,52.09357668"
"2011,52.58691923"
"2010,53.08026177"
"2009,53.16658846"
"2008,53.25291515"
"2007,53.33924184"
"2006,53.42556853"
"2005,53.51189522"
"2004,53.59822191"
"2003,53.6845486"
"2002,53.77087529"
"2001,53.85720198"
"2000,53.94352867"
"1999,56.86034765"
"1998,57.81338839"
"1997,58.76642912"
"1996,59.71946985"
"1995,60.67251058"
"1994,61.62555132"
"1993,62.57859205"
"1992,63.53163278"
"1991,64.48467352"
"1990,65.43771425"
